neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
706577623,1665112,1272917,1381247,822077612,599697,532756,554534,873122812,896641,714537,740539
763443649,1865010,977089,1097080,777398017,1090074,683238,690256,815456235,606852,342506,394364
856831255,1492435,1009463,734843,840708669,737242,513254,554259,819023580,763962,621928,957696
786160289,752617,738583,636143,928265382,2151882,1340438,1457055,825571271,364366,339444,435169
741307828,951156,715347,560366,823645202,766954,487765,570743,812010198,1063377,427817,430775
734280615,914133,674086,554067,785547391,936704,781046,880182,951554563,5536954,5255499,5044043
770866899,774830,513085,541827,779832494,689173,505102,589275,824964997,526516,465022,573082
698589726,896003,494370,576785,743170563,554083,564648,583881,827648350,354919,382403,433646
695978827,943071,514709,564584,764273377,702242,764021,787863,815274897,464706,347848,362358
751034370,2171490,1127567,1183791,797011173,484336,601651,600904,813849161,1373481,1271940,1179814
739829803,1135377,516034,558273,805563821,928813,1138938,1147092,819348630,395213,353671,338401
747217780,1287847,686026,731698,790606919,488685,614514,621969,777768949,727930,743577,736688
705701644,916868,523215,584859,853079670,610117,562594,564345,792301412,440981,337590,336131
712574738,476352,507782,546351,872223576,3544356,1297648,1262085,786577922,1062979,1189378,716050
746965653,790422,658337,765325,794840892,551166,636325,667445,822547014,360700,563933,321322
761617834,391624,445269,532528,784199575,1119799,15212756,1118132,815462496,710704,677025,414003
692932995,562509,746429,543235,744349581,525607,659348,658858,838203084,1062908,1108528,689670
722415131,519231,805313,525570,777345736,537270,941447,858190,813235992,691017,759030,547782
738335566,629212,819597,516623,823745658,5277940,9645186,9511524,842376079,1139011,1642909,1136682
756511662,450970,816822,560105,862101805,1172876,1444366,1362148,804622761,1358772,978330,682261
695761877,810555,794999,520567,799389137,1215897,1420238,1231230,834520384,400947,703768,415003
736879154,903539,992248,978834,865625972,881747,1046168,1051312,846013242,1784754,2645336,1662160
778172901,747363,560056,550352,801417687,689526,1230432,915569,868241414,2603191,1827060,1099928
763774000,542357,577587,606635,756015613,853941,1970849,1849880,836131365,433245,453227,389605
725645733,615983,517307,563786,836707867,1969675,3307448,3111693,852310725,532956,356599,369882
704900803,564515,497555,563524,790769770,809503,1355571,1179762,822472744,1205601,464936,511815
748248165,721497,449184,556542,781673078,497756,956097,810036,779888530,1443460,532585,557959
759895411,621800,485240,613014,831228225,622762,1007575,895697,879785168,925836,779920,706806
698078452,500627,469331,552257,798969436,905115,1274009,1145450,796962155,1507080,551156,493266
741129440,984118,707526,801828,795463292,866073,1194364,1038505,793790282,3732534,1277221,1130654
765607079,682243,634492,764288,877155453,632855,1127968,807620,786706639,708823,646663,536522
782124171,560982,514158,555299,788810942,2535476,2534166,2360787,930108652,1060767,537142,552001
704387465,640328,500599,564539,786319907,1967552,1917328,1833577,840348814,472900,324997,388574
745869222,570625,490328,907781,732930715,720449,743600,872088,834464430,852023,485823,527165
719608141,533575,482241,967296,787594778,556900,711443,847685,831870132,405517,314343,344618
770247896,909841,614219,1227330,788617600,850180,1094854,1169300,839696560,1095200,732089,783429
683191173,1137351,1153684,1443857,825762238,530559,615068,1090930,974830822,3731270,3221503,3312852
728879856,632992,635549,991965,785785688,844186,721106,764491,813807365,425194,393417,376127
786698094,504519,459821,1035384,844769690,533662,580012,13961990,839632106,702515,693839,657291
784401904,460922,467528,1002995,835442627,481572,573145,865284,869764463,12148291,711139,850325
693345423,648456,487368,1093119,830902905,575935,545835,708766,819660108,1535941,608203,645838
730277176,683937,479084,1039498,755618580,742749,758051,833061,829347027,437694,328746,382337
823565643,4513323,5659783,6559594,744571415,520875,579985,697616,823158223,415074,350153,366911
759369935,728966,615021,670611,751479228,477600,559864,803507,811800618,1025401,888240,931012
690260484,1013436,1367490,853104,837626767,951996,944728,1170360,785151355,561025,425986,482811
710359629,641154,892875,560934,814626554,1635421,1353969,1561447,782918201,1068666,694318,726528
737483328,388123,756011,692740,779749823,555568,543413,621608,778708334,515018,318458,356480
767176650,621490,788532,650812,840431165,781337,884688,1017019,858043124,674666,322610,371653
752589196,521886,789531,547127,818975191,943917,714936,827445,852954296,622666,414646,474031
719200213,434696,848935,573250,796708572,838212,524995,536661,840785803,535226,323288,362247
723443914,805997,1016875,676576,738904924,1934083,2231311,2363863,818473463,1811809,862880,851419
728033970,1209421,1031620,816877,760943591,547531,816394,1055773,855667616,849354,687233,705390
701926067,481446,867051,484996,755152536,470559,809949,1167117,886992515,867269,458497,534679
690869969,602777,559803,464100,811924088,529139,818942,1110196,842580576,763507,315200,353202
727097984,1028468,543459,485367,808465327,866420,1051117,1235952,865219322,717746,311116,345371
760288451,896875,497882,562798,809454081,759223,748549,1044380,827999615,3029870,574158,617991
761839011,1097561,532164,558187,784066922,620430,577979,924237,824126753,695156,300574,367398
693325941,2284037,985531,941684,853358244,702446,1109410,958716,825432416,888749,404925,453906
742040042,1758935,1025838,753487,797483159,574791,1041684,945372,788268481,4386524,1003034,1080015
