neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_cypher_10K
52304233,416552178,376052980,370179482,36663164,52824967
35758053,254669880,280028882,257926397,45648759,44349435
38671503,13897744,14595616,14210634,42717161,58635705
39856551,93960819,95365373,98147158,43693928,37789088
35814912,334327281,307737821,312153026,43746145,52399087
39306824,7515239904,7557605670,7248704491,36946250,95233976
34459105,22925602,24105128,36483101,46951005,38261697
45102310,1162689224,1202107351,1163631489,36829450,53581844
34930742,443794467,472121307,476125246,45134631,47276170
40535344,4463660460,4261577631,4212710504,42191077,37575410
36819389,106972254,92691172,89941032,38244288,43320094
33818466,1056741334,1061124225,1042375313,41653056,39700704
42806007,21391017088,27258544779,25410837497,41581280,43225948
35321124,41901001,47863867,42131707,44939480,44805269
37034369,589434825,585923543,561969511,37215363,38349081
34597305,1327831515,1354859460,1353518286,44204311,42802607
36508536,191949866,209912253,216795659,54895596,38052184
39292041,26013633806,33137298409,34017084410,38833198,44178042
34975753,271978702,252077113,264072056,43119426,38200635
37522795,2553770340,2482550622,2420809033,37576267,54147655
35130707,423883950,368914555,356455230,64240309,43784304
37682524,439041394,394735397,399378425,38857001,39536619
56651969,38832418,37827518,36709130,44702067,47218770
42033896,892549810,770666957,781264278,41160166,45600446
38198851,37388343029,47605747563,46142125083,39908495,44738297
36458564,320009238,311103862,308781177,42684866,39026076
37664850,1141732278,1209711617,1322939784,37052028,43170072
35661309,1220547744,1252799459,1468397281,41153738,43953557
38403217,19915441,19322888,19175843,40102220,44968180
36420731,66076976,68790521,68274988,48321767,52311640
37413228,598339566,637087573,681915487,40770557,38391224
40576929,52454053,48366407,67824419,41722653,42017386
39707954,560517332,575243817,690363784,41711607,43511766
36337575,5275116,6142141,6453813,41320796,44759938
35760345,417728852,423029542,457715919,42809077,50896014
42727661,7110312912,7338399408,7284665486,43134081,38730092
54208148,759992340,774140575,764670343,36985527,46643483
38883136,1988877104,2013095300,1932843916,49593035,37512653
43377684,80227071,75867142,73721871,36649793,46486220
34043451,176648957,139138830,138723333,51368894,39026561
38146104,1078942925,1088747320,1053194568,36129387,49695454
35640188,321415685,323962641,306835755,44612499,44760311
36629643,144336138,147204073,141768840,43717519,39677028
39841491,12241014583,13468550293,12745825091,37344658,43618359
34618374,137982235,151678112,158978030,46911989,39151420
37902543,3496588172,3061245338,3193058164,35506890,43750056
