neo4j_cypher_nocache,neo4j_cypher,titan_bdb_untyped,titan_bdb_typed,titan_bdb_typed_nocache
36095990,141330,180560,390024,172771
346280,25035520,348446,579448,362108
25224813,25630344,156296,307206,162436
32520049,29591740,298845,404731,271479
30863827,156440,228001,320934,168615
351606,25003989,203159,315376,181430
27672384,29795439,155075,339596,163275
25509718,25831398,471921,523869,333162
32701249,32566253,464837,479940,283964
26425560,23787089,284533,500693,314365
24766106,24996548,198620,524975,182586
25598206,28358555,147700,343575,166056
36826069,24854865,185533,289094,164898
32673061,25112674,137653,527887,162751
26480942,25467282,132999,542206,158688
27454303,25511491,131919,551324,163330
25885713,30704066,295282,792927,366851
25158809,33071204,259924,842324,347873
26878219,32767288,225920,512841,326512
35736963,25563094,138993,317527,173487
24854694,30635043,262725,490712,352825
26694439,24235712,190996,356390,256562
25368940,149245,149720,336039,167782
230119,31647867,258024,517530,344841
26278523,23668111,249288,570316,386538
29993994,25328307,347883,816903,349607
28019607,28425613,135618,538248,169950
36518704,24440366,251054,922224,358897
35944220,25566472,233369,824878,324792
28688035,136415,134798,531067,180907
206530,25944853,228908,710701,350423
25428329,25626404,241128,550854,342135
26310360,27045374,241427,653634,372767
27429346,24718646,235055,660756,339552
26714566,27871372,255157,859266,410012
32141847,156925,129134,394674,187380
227090,37262516,131796,413606,160349
24186428,29831149,257392,696788,372752
26780054,24543254,256057,696929,366055
29293858,33483230,268746,607866,355626
25919051,27488315,224388,557227,306290
26908603,25469608,252614,633563,353578
31942391,31411761,233836,534643,326645
29733271,24305611,251694,558107,333121
25662894,29662269,257544,683234,367320
26128864,30436259,226644,445418,167729
25662581,25146626,254703,731277,363414
27245867,33324916,138414,372211,162035
25743925,24979220,233554,640573,332357
25481676,33725577,139084,407141,175906
29394953,28306744,247401,643703,332142
26419317,24817741,240259,634447,305532
26682826,25243782,271689,659195,378373
26033275,27637301,201813,558335,291841
26230221,33077632,527063,703708,360931
25018175,31549315,405547,628584,325387
30673770,143340,229721,418593,167745
292400,31423892,229125,373953,171265
44692009,23163224,656517,703955,397781
26737442,24341472,253589,352786,164834
26233178,30672636,353543,490875,284964
25265102,27529083,379791,542730,306684
35105224,142339,223127,373770,165622
266336,25446631,394991,557503,477072
25615972,25189495,201399,384156,335427
25265767,33718453,353087,635106,589256
36784983,25925668,217217,434619,321295
30251404,27197388,387946,573193,621393
29745007,25988564,393440,473614,495259
25709245,25931288,467824,558293,607387
26979938,136419,276930,449837,353690
229693,25686497,543871,683479,670960
27171127,32859306,253090,353901,387622
24485601,28597795,485771,586260,644555
26769843,24188691,515807,744175,743878
24517480,25508121,303415,408953,354290
26408910,27388753,238186,378621,293398
26880117,25137011,195320,379880,308047
25944324,31599383,310778,611275,613857
25577938,134196,139498,345197,287336
220114,24797178,300129,605924,645684
24905264,27777923,291489,572912,588896
26885660,23775995,140652,328459,352987
25846074,140966,142674,256993,360802
351355,28085153,309408,420739,693608
26240976,142278,142631,211624,318260
218505,24028817,132672,199599,293039
24396476,26794117,143597,205210,288685
27520672,24024665,289672,425784,653022
25154005,37787200,135585,218756,269289
27124552,33732651,239061,399127,531730
32467262,24504782,213150,317324,526773
24646896,25722027,261286,380706,632391
33534886,31515143,150283,240089,312770
23807448,25890695,285005,437830,584537
26481655,23468450,291458,423649,584892
25152939,26715371,150884,217039,175186
26800611,41740002,141306,193565,153559
27528351,23154278,287587,357860,322878
25419103,27499490,231960,212500,163187
27941149,24282098,265635,347998,300890
26350683,24871293,287516,392721,343761
26895815,23752060,148724,213620,159201
25907049,25869809,291308,404749,345224
35035070,31743488,143737,211458,157481
32851617,25453601,284370,366335,329546
24585430,26056701,290926,368947,324087
33066774,28410762,243367,307845,285396
30002554,24785180,252541,279920,274841
25757242,24815312,296882,355246,353926
29029268,25577993,308097,580812,350310
26961115,143325,300969,334947,165441
214982,28672063,614540,630271,329528
28224202,25257604,524342,587289,336400
27413151,29202948,659111,596503,329376
25219421,23724508,504953,640118,352169
