neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
28781980,598928,1349513,1376849,29146719,565340,946580,898849,33021035,921511,896890,1328045
31790328,580433,1360987,1331850,29406485,652011,857034,909078,33206146,1151334,891532,1290255
29701333,649438,1306155,1268127,29307428,742283,879547,971792,35829456,1211413,868831,1336506
30024184,624803,1230734,1302758,30280825,719664,857270,937841,31300755,1271361,877927,1467128
38401121,541411,625759,1224775,34293954,581529,906935,963406,36472930,946269,864445,758971
29849498,575889,507599,1400784,162608,521103,1316513,875248,37220657,1235551,761847,654208
43514942,595082,516337,1359354,29825501,823388,1484908,969071,30065624,1140182,570728,602502
28288414,686209,510595,566063,29714840,821158,985750,983488,39012794,1168242,559836,604079
29411716,550464,547290,568775,29746615,1196222,897099,1076336,29645828,1092611,519131,603826
28743491,533990,523145,609133,30466099,1026494,1208053,694512,30516267,971579,534673,587569
38160511,383948,513584,612120,27949792,994650,653153,643588,31601153,853298,462595,489299
29084856,265878,776675,600310,28561992,1074665,494283,572063,30756703,946425,499646,515435
38359279,269638,754466,514423,34273528,973004,530035,620038,41304219,1005459,489852,518547
32302217,319233,883980,654696,28648731,951700,463428,535453,30950861,327474,497955,528343
203189,278410,786418,549633,30343507,1094072,489987,575634,30852133,432066,505291,549107
27940047,299958,884204,635697,29340398,1016635,466139,547716,31480963,334526,510237,532425
29784966,326225,779060,544734,29307869,648835,497370,580229,32031152,591191,506912,532355
36469151,340501,834419,601441,27670326,406106,497915,930418,35161823,634950,564779,531369
29180673,346499,739974,592649,36220807,299230,501200,1023733,34851851,506525,528074,552714
31058566,325827,794193,618237,33516808,423367,527341,954930,38892025,657752,502514,543478
214104,274687,501982,550468,28418800,349041,541520,1068410,31912212,444502,513884,742933
29112454,294780,859615,608640,29585663,258218,681467,721043,30510888,316115,549858,607038
40222434,242613,561505,652817,28929049,295813,568583,739273,37541681,265583,411228,455066
28014217,328462,475266,639041,35349768,375199,536292,692988,30191516,644153,524712,595100
29961274,247734,434309,461195,34663724,286588,557898,747863,30423857,296302,431048,454681
28131448,301702,548021,546675,37500566,512081,516324,742204,31786590,490562,552304,570568
154829,288899,449625,514989,32706860,408059,505419,704841,36654939,424574,527331,571146
40272277,292782,598450,658512,28476117,266646,468092,724546,39948874,405033,545742,867918
32123714,326157,544738,560067,29557681,548262,512004,660566,31346392,521653,548961,640662
29251812,274637,446382,535787,33463005,601650,505240,636233,30989067,564218,526361,589160
31148927,283456,585949,888122,30970583,623957,544914,673462,32622348,399905,474530,573573
28023093,235477,845362,617257,28349969,540285,479108,636871,31743765,308605,501109,640381
28447157,320141,580823,524330,30736432,684101,492010,716589,35015119,423623,560449,646574
32634299,343563,494996,573794,33222227,578370,533022,685082,39930891,500039,622891,647192
29371249,250730,535427,611101,32802142,518464,584694,670552,30781308,363554,669598,628432
27929856,192608,405129,444989,28601666,398040,754673,808176,31397776,293625,730554,665855
30519715,288228,487992,550564,30735144,560725,975182,685435,40160238,453780,591391,623126
32263038,344310,502036,559149,28840639,826950,724744,691429,35365934,408631,571092,629013
145159,234426,440271,538215,28825868,734625,676904,661345,30941336,351546,560259,532270
27569447,286937,491132,563076,52266278,717836,536827,630282,34665597,424968,584678,544792
33272674,315534,504946,671232,32757557,706304,509913,643260,36256060,394156,686418,567324
28310603,282698,528979,617109,27881571,300169,474565,603958,30833009,268123,569218,558129
154228,216076,439640,510215,36642333,399713,490602,624440,33220293,372757,691443,532374
148013,228867,433341,500777,29210025,351017,526001,632459,35799404,429963,648133,555814
29408893,320983,500533,552353,29528569,379818,504199,628229,30387163,464270,574849,602723
34042108,229499,433930,503296,29145911,410539,511351,620471,31371149,575033,562457,529682
27949708,324326,478168,535500,28793565,384023,508152,666772,40090659,589836,535406,542455
30696742,228785,466318,500157,33596626,298139,537124,669185,38530727,496684,560740,10638336
32045509,242672,506279,561807,28213456,317567,477893,609188,33151777,375958,437539,538092
153131,215101,442028,478975,29542591,258885,464026,582961,30652972,828528,547051,584687
28716633,289614,525814,530178,27682339,390576,577900,650152,29509440,627096,497424,522933
27133223,1335895,1234131,527976,29754100,1802368,534549,687329,31868784,731198,529802,567728
29438428,312306,578645,583600,28192808,586074,536685,706423,29838121,550406,548778,598698
28211965,340120,474703,518872,28286020,575628,477229,594975,30548490,597774,501612,524542
150399,242381,7119369,2376326,39806821,605108,1209248,631597,35993941,2016713,532670,555441
28835361,265403,1556421,1336497,36536286,305664,619835,680163,31767509,535431,594039,583350
151009,271075,944185,1047475,28553806,507878,1941799,2686202,30735313,605808,2085992,3088758
32831500,314522,1206713,1229304,28483331,586018,1181831,1359010,30428989,489771,788899,1288382
27637324,238698,860552,963365,28389249,533365,895207,1170876,37088585,387676,565433,784811
217656,233495,851361,955073,28674062,626719,884227,1207047,36069738,716301,688622,1055627
28722091,249964,848142,949656,29847684,667114,916371,1142086,29824013,742291,680003,1026098
37531465,263587,1133145,1238196,38791590,434547,821633,879453,43937643,506849,665882,1048332
28406693,310248,1124978,1197826,32030788,423435,928998,785966,30476350,451557,666315,977497
28225546,289700,1075567,1169186,29367370,427675,692501,728542,37758378,430904,637464,975100
39449429,243047,1093540,1139224,33527414,437455,628355,797288,29898559,414360,579864,895760
31238409,234152,892247,1052638,28380738,471429,631016,813602,33055273,396927,579688,931436
37020532,267010,825050,1085317,27548245,423784,9978153,707357,36125072,522673,634848,1096917
28528151,302415,924356,1052264,29654423,403999,722506,888772,29951318,427775,685324,897761
28381312,266244,1001343,1172168,37177271,337884,458359,547503,43019536,384360,586379,1060390
34691300,265496,875827,977087,26877503,590443,851953,993674,28941448,497024,591900,1019577
28143520,249100,891617,1054641,36084187,590324,943383,1165592,30106825,749348,646886,783474
30433585,221938,1021153,1134976,28474267,428017,873209,1106258,29690299,440812,610407,687724
33245739,244705,1126948,1316981,29299436,512578,940288,1268206,46616928,338892,543412,694627
27690023,323542,1026728,1149045,27595776,574157,855055,1254810,52853941,644796,604283,796712
29159664,312341,1067358,1349540,28374854,442843,804855,1069910,47313228,476774,671463,765400
144342,300078,902319,631627,34692512,655016,1096283,1109324,62073780,545189,635240,656954
28331644,333125,1261024,756757,43001479,460683,1077893,1033765,58333304,427064,660295,789281
214246,224080,892091,565149,51494858,408656,864287,780825,53098868,467788,572662,737028
28995374,259007,1131802,694299,48596236,577117,699992,1182328,51961196,513775,518708,1008284
144704,232423,863925,534792,39591786,725433,575729,820417,50881428,586068,639231,1071175
191861,235473,878812,540852,37626875,623611,616462,681707,49022968,544573,601842,843212
33251466,354703,1098940,684805,51656951,368128,592043,570361,50157132,498741,590437,582803
29679291,242106,1071191,601223,49543554,517379,697073,743541,58369604,399296,549838,541898
30786877,246180,1082538,577285,49795729,419469,609324,724297,48284698,355526,584310,559362
43323079,337249,1024915,532727,52131087,615508,600273,814221,39947023,518132,584141,618125
35589479,402949,1044555,595158,45559774,576741,720437,629918,51892631,591168,599855,640266
27010609,281876,988200,673603,27418378,637958,646968,591489,31674074,502527,586726,605867
28484641,293638,7067564,585616,28534811,366648,464258,794370,33534170,264660,638864,761804
27461991,198133,890937,491784,33083233,378997,622225,1034905,28465412,232124,686158,721764
27843553,193713,969865,485073,27005662,351870,547975,1092099,41206027,235971,611962,606740
164610,206479,873557,485424,28585558,665452,553910,981853,29321142,339591,566861,600480
181627,222625,5307651,528441,27849488,830128,549656,958314,31725124,359195,579763,604127
33512616,270855,949479,510241,27682094,461041,510841,885398,30183503,289627,549999,585595
144175,238107,1151876,515621,29109000,518370,501853,899453,28168763,7148453,509294,671591
30870775,304565,1054721,610463,27784747,611256,526497,921537,28096737,324896,527830,641911
30521292,247843,1109217,675495,32756985,409337,574021,990719,29441573,316503,515947,588461
151608,207853,980670,553480,30767838,668374,847793,963557,153254,222648,470275,531305
146831,235263,718394,542231,27487634,495142,896548,670080,32677719,837178,685582,803387
155634,226265,745632,533985,27191383,330771,915669,666069,28619205,476803,615345,921812
27983878,249136,678445,566019,28110251,330978,964184,659120,31409304,339098,589813,946028
28051600,316573,813076,649951,26491832,273215,848228,636560,26969477,254060,572338,935909
27406653,227065,1155435,656653,27404529,321728,959763,1022182,32689375,205485,514873,807069
27600720,225589,939317,666318,32473950,249649,888452,1081137,28113658,230399,570483,924951
37995335,226228,831552,707720,26837806,295806,979623,919637,35481808,311807,632614,1039149
33842364,292179,767119,605757,27647696,585739,1049213,716551,37898562,285987,582889,905833
50715731,195716,680938,485007,30928086,272848,908377,647238,28080614,225695,464266,730057
39514398,384815,712303,604406,27026514,392272,512565,477976,29334508,223982,552261,541184
36187061,258715,801907,547134,27758144,247634,526928,572895,28636195,220666,499351,579065
29929733,158823,646910,426374,29146891,217874,509630,579736,32609000,238711,511543,550427
29262740,264910,747899,535023,31419128,500532,621223,656710,28278435,274874,482166,557346
30861093,193600,674701,483089,27032070,294938,523618,574546,28168514,316965,519135,560333
38038942,291898,794166,526685,26776305,381328,547253,649247,41427400,298823,521609,590023
29584998,191911,667961,465891,32000322,371001,544128,610573,26763245,299358,507267,545947
29907974,176830,817558,513268,27479096,242224,611680,669643,33743738,236654,502449,574655
39814062,197881,762478,559575,26460737,225441,563482,632741,32327288,191156,456977,514034
28766453,201366,778010,606550,27256597,264620,567943,635476,27664629,439484,540440,621738
30647502,197692,822438,616674,32486139,181259,416790,473395,26652303,245547,457854,586128
37504267,180041,672634,508611,28958930,314041,506039,548598,30305247,278724,480362,597164
51301919,176847,682880,531682,29914643,256714,534029,581705,41635924,230207,514216,651717
354205,180046,614634,492426,26622410,275710,494133,563747,32735585,313698,488246,586683
50974326,284638,713604,594054,29195706,277437,507127,586208,28750531,280435,501510,581517
277043,192819,578364,505258,29436971,336101,544103,601717,26720903,306049,500171,584034
51059097,192583,560735,517822,28276570,360781,546181,689150,29492495,451808,522968,613684
50861958,195923,599124,500843,31962168,303694,631976,739170,28170078,299651,497494,676736
32445386,248074,720722,632419,28348539,241513,655662,657153,28196654,205570,419625,517308
26796798,164756,588110,518133,28217116,270790,857993,665186,33260398,276199,595146,661717
28509745,250011,672666,560132,27197550,336367,828496,628042,27375120,369899,564234,617620
25747738,211652,791982,649003,36253380,203791,751452,566186,27609996,228574,547112,577917
25953438,196878,635990,578193,27617763,281505,911956,950640,27716182,221711,578401,713833
30489209,155452,504290,448081,27342152,188433,731031,572303,28112600,222408,583844,736833
25750604,237555,696469,605826,33369400,177736,607501,477116,28870098,174099,431505,490816
25030295,217929,588912,539328,27867422,224446,823661,595310,27829510,222792,578914,589965
25824508,196722,511782,458658,27891101,338216,568804,572356,34972308,547205,572053,583905
34473166,228371,691357,516819,31238584,222843,476549,525236,26233380,287281,496938,556031
25532992,171124,564656,445562,30571321,219349,485484,532557,30024048,373390,477611,512101
27230600,202731,670952,538812,30901301,224275,563182,589403,28545494,289534,395520,423267
25799278,210022,719310,617931,28699736,215072,503433,530569,29304934,297836,399998,421565
36425390,190546,576459,485425,31733204,313485,553054,557710,28532417,596185,500543,549285
25815938,216362,657438,571869,33249662,241654,576095,996924,39212806,541135,567254,631225
38944323,385166,664017,556874,33817201,313741,530975,900298,32917480,459754,478215,552132
30100228,237251,642638,539585,26332943,230863,530616,887840,27353175,426920,586632,587688
29121878,233613,543310,501352,33596892,260828,515297,864495,29749233,376651,592571,923273
27990484,166605,490801,433865,26238467,229080,602552,949066,27186535,556560,548328,821641
27012663,174985,540395,497247,26972603,233236,576045,935631,29269224,425516,526149,806420
27077052,259783,584883,493407,32324307,224574,575340,951942,27819021,450545,571737,877721
28598555,272812,545355,457558,28457396,213853,506829,832088,29355074,379929,426044,678557
155171,233161,571639,473519,29407298,283755,763109,816791,33870629,600672,598151,856650
30888824,245777,687188,562303,27760774,280787,975849,789911,29496812,316822,500955,688264
31141175,290258,653027,557100,27441970,231688,875013,609755,29160194,226877,579582,798103
26869977,228666,622937,550333,27888904,270905,978845,661766,28360143,238222,795378,974227
26720526,217965,636477,547404,27741020,228708,995605,8516208,34019306,188110,14023491,750644
27494494,213530,557577,510596,36613889,222315,962425,1024082,26671379,224394,925425,617373
32769358,237436,541225,458239,31036842,181048,522562,846937,30631005,223344,799341,572413
26455421,381748,1834144,451737,38005134,215655,490704,837702,33268763,335861,808887,593355
149024,257814,794736,465155,157738,231607,565663,744218,28699817,314018,947010,605536
30087436,192616,740746,421367,27185933,304617,555518,717122,35738542,295858,957523,634865
26837366,179502,664966,404869,28203211,225336,561939,739440,29012854,246434,782084,564095
28297888,403266,746305,501006,32125951,386824,563422,749119,29167146,357111,790999,588592
26202581,432597,5751003,521675,27994895,323986,550573,1092299,32170005,351919,923093,550153
29065543,239282,862182,474418,31284513,291607,550034,706059,34549747,299487,789247,549056
32152517,227976,1141033,566811,28050442,242157,587152,726718,29903326,243449,853926,591201
27010050,212632,956180,544576,34258226,224206,555708,865179,28575870,225496,816977,632892
36043156,269877,856859,504501,26085609,497756,589430,754967,30027276,292243,536547,534182
26106106,193237,798291,475235,29095023,345554,512419,796304,34640411,206915,496843,511159
328381,189633,691512,462180,26323517,492088,497042,754794,28270662,411250,571617,580994
31720186,204494,713654,468822,27649885,458314,524294,644327,31868079,389811,551357,846588
26782731,314248,886328,539652,32604388,457008,526201,642742,49762562,302306,636646,829225
28870673,211120,843056,500824,33623147,467629,507912,661106,35686868,332200,575794,860777
25868925,285393,937727,571537,28441986,373785,570943,826334,30760776,276598,542241,870698
27709544,199221,615362,401613,28515301,327631,495382,650114,28864453,225046,526302,982116
31686315,307332,676761,552701,32102260,452413,508045,581432,29472996,285351,534744,1024139
26417499,188514,567248,460310,33836438,390489,579552,657280,27163075,298502,520916,858673
26975736,215069,675583,547110,26086952,370826,586544,645304,29155044,238569,572454,1062103
26417557,190703,656667,501957,37468442,499907,805072,618743,47524519,331384,526503,928456
34996516,302879,820497,623264,26358548,901638,964402,716735,27268795,388427,561785,881540
26050372,245159,769771,650978,28549452,445629,924276,669613,29065516,200997,505166,771103
27385112,193201,600938,504074,25892984,627062,1129243,734437,28983242,265105,537944,553497
31147744,320216,863115,564712,27118828,499354,1003094,762198,28581079,334765,556719,569737
26108204,237445,706109,577381,26576135,304150,968763,745817,27781403,294558,584399,630742
28431138,194748,582329,522511,29168750,288518,830744,665545,31082591,341220,528502,629540
26272508,195508,645927,558768,36363938,245799,1050703,984420,35702934,202111,495234,575927
26698160,213981,718929,639749,26622840,196135,866143,992354,32541083,233049,571622,617404
27002835,213960,633068,488554,27557572,321126,718083,810759,35827037,305597,512775,552002
174219,212166,655332,505874,26945356,364177,711226,809515,28147893,314459,509354,542208
27843539,305232,877544,594682,27696936,361353,601507,735707,35931514,274037,501037,530893
35893427,200068,695107,518199,27529830,294340,519305,625142,28394974,346663,561800,545236
30426344,217283,716577,500371,30148139,293290,585216,674094,31312706,317371,591519,471381
27486400,197889,741255,652860,31119373,195743,411374,545547,38449824,265850,751504,646102
26504229,186477,691214,557734,34360878,281646,539596,612588,29510409,518753,651641,686772
27700804,196653,682953,496872,26680410,333449,524371,656360,28870271,272673,520099,616908
27004705,209081,782075,619970,26101514,248105,458356,590791,30150900,238689,584671,598038
27825279,204500,805255,671097,29823935,215842,442478,600673,29590739,229925,538315,591384
33937866,183677,631157,487227,28047381,316547,481915,621084,29063365,301638,505052,507541
146642,201999,644687,494813,29198034,480028,500881,602597,30464200,508290,537038,524495
145362,205231,643153,465713,32393765,348833,496112,634826,34336997,505473,519179,523718
27248696,198262,593196,453308,26630151,566383,557342,661929,28072054,445476,529342,525029
27742995,217274,813008,621514,27629168,363260,560892,814752,27818966,350827,684127,593940
27280302,294420,887877,581208,26670700,383019,527801,717883,27112728,480334,530892,535466
34860905,200883,650837,471031,33391658,289234,513401,655603,29360650,838606,604619,653194
27017209,259937,748589,517397,26100028,325899,496617,652814,38088295,538335,551348,556098
27451587,238872,744670,510158,27326097,240898,546540,735869,28976064,353896,582742,598286
41508973,173260,587146,447635,31282044,203651,433373,566734,35484419,498257,506384,537318
25870164,203983,786267,570840,26689095,366186,542105,678993,29959623,373216,543553,538194
26711311,183050,715191,494232,27528617,340105,518700,699688,33337958,263698,420111,451965
28073536,183183,707921,559806,29392646,304254,472394,629814,28285550,232408,561257,569166
27184326,171522,642986,518341,31463015,306154,475794,617788,28309916,365407,606747,500186
