titan_bdb_typed,titan_bdb_untyped,neo4j_cypher
461634,336231,252897
530130,613330,28671314
470814,568814,24410010
393038,313436,32914429
566724,492783,24697198
437909,507659,25040631
465421,635017,28044087
323497,321839,32413161
309838,305199,238347
302906,318100,28929387
497852,615936,24981328
391263,491635,33483503
310738,313891,25963782
414569,481836,25908822
393752,494798,35476103
313636,303494,149264
337451,426180,24770562
426555,489888,26521016
311442,306272,25438013
308436,308790,29679871
396375,515212,24968908
330090,309658,33763034
434788,500177,27083414
397463,559525,25224267
407953,497587,25894467
482802,572747,26421881
474389,331609,25952847
499998,609347,24900464
446686,497310,26244654
307120,1247799,30987931
309713,314170,25456206
319725,301857,27332906
567732,525740,26349913
552112,401199,26740422
810342,555992,24594492
492150,545321,33939634
326783,304137,28161911
427755,482607,24968815
403758,472725,26012037
434786,508768,25347600
423488,581349,26284559
321600,18308402,144534
312915,419676,25209058
586842,702299,27872679
383530,392154,150220
679833,602858,30539992
629946,542703,33574187
851006,738424,28207788
551448,703033,35510650
527037,424246,32437529
602313,407928,24957938
773547,676411,26166098
750601,832465,27864680
773756,810214,26844499
739978,727530,33081045
586587,588958,28160823
750520,690415,29187948
625584,431993,144302
873843,727351,27008403
739517,672062,32936303
896176,680352,28090763
543953,371325,25287679
529636,376596,26005459
517934,419733,25006070
658328,609073,26386103
564777,382075,25853616
654912,625263,26524506
722202,693058,28676072
649493,524528,24627454
587238,540453,33886294
626425,592990,25610497
552112,584411,25629730
734470,708727,25023102
583464,406050,27990734
694413,642823,28334719
1634004,647072,24969070
585753,609858,25817726
700384,640938,25640021
470942,540226,25765875
574303,614092,31369581
1064241,722163,33331408
540308,375773,208625
681828,607759,32065393
624241,550029,26872066
715456,619316,28921213
1956419,683037,24633599
498840,360480,25658405
500684,355119,25575041
889946,617762,31501731
712946,608434,28428982
863307,612468,24672197
723507,651445,26646330
691405,652035,34166477
765767,647775,25293023
781936,668018,28586212
471037,337218,29714952
560837,562972,37323408
733751,670437,24204362
625362,625766,26206211
762160,644943,25472169
550176,357489,150908
452718,347448,27675742
1426479,666219,26559713
699703,575421,26373917
691054,501031,28521890
499069,355135,24956696
506625,376986,28167573
540217,374008,24788975
606480,364324,27463961
514391,360393,144089
511055,349366,24718997
744633,648210,25978445
832650,640395,36559624
702837,628590,29698859
756665,330677,147606
869927,671831,25061884
715128,663771,24924586
496642,368291,26059607
748406,726426,26595204
608731,571077,25218008
879333,633560,33125729
580088,346570,146331
750944,741450,24842988
517545,412491,26277904
531201,416113,24709311
772472,692706,26734747
761644,717959,24687617
477659,358699,145015
532858,405470,131981
713100,713401,25147099
519350,374438,193781
511699,370380,27532635
686273,610680,29826619
638729,583392,26537547
641127,652606,24411942
912251,721578,25317723
714629,715589,33311898
737780,663290,27164894
12497939,647059,27172527
587031,537027,25479518
603016,434046,25964155
628087,353037,137002
1160658,626938,24301443
746551,603762,27405723
545025,414609,27086687
828798,711522,28070126
618612,556699,25398073
737637,597500,33836465
655236,608984,28010551
734148,701599,29881839
744694,739232,26464137
528268,394345,27313325
544274,373049,28821907
827593,690961,26603394
741582,586706,26433031
770978,674888,24474098
836209,641085,26543985
557185,543972,30345231
598760,552135,32325150
728058,656445,30871308
751538,680942,25832750
499487,384944,31251475
762134,687774,31802329
1254286,588458,28982809
826200,697554,27603908
723159,599868,26333999
592507,485932,39749608
585538,375675,25487105
693084,630626,26302714
569591,515030,25024528
493687,336900,29111755
794362,644767,43169199
999714,628960,29442444
907530,588139,32102239
535793,532539,25346387
5268437,575072,28437756
680737,582775,25728187
583672,549429,26302655
456558,303059,25639676
646353,551967,27084601
375961,227772,29285295
470983,241388,25562937
406900,246553,25899569
808638,799769,27574239
1308591,232165,26208003
496129,435959,25149909
466627,559504,33972407
364534,251365,31697980
664532,528258,25823431
479846,456902,27050348
384052,430155,28192721
1090526,245577,26647992
354929,232194,30785214
529260,484579,27926737
385620,263588,28827558
572089,592478,30864321
471295,464648,26466721
359088,256497,25738849
598584,608343,26523268
551363,561000,27220501
703555,543604,27248488
625285,549384,30933762
562188,516927,26275972
486178,502973,25738350
476018,481291,25693704
509872,477726,26087503
346661,242945,26763204
364826,246418,26687321
505556,539072,29299565
480974,442120,25835475
559961,526254,38106559
546086,530670,24801991
352861,264416,25762585
430896,228567,135748
587024,530657,25194146
395815,233515,26142365
340268,232417,29823960
385096,1278425,149979
351469,215697,27810160
520578,432065,27165112
662312,500547,25904673
590030,436840,30638310
350091,203099,27315454
487122,444013,25773319
371396,196824,28710960
536146,444297,25681462
373112,198103,28205796
589137,508238,25469286
585152,455466,38023887
342523,201394,29724727
351269,194023,27499442
513514,429893,41806318
589407,485416,25575678
490097,514740,26977164
421961,376593,25203564
558661,434268,27341614
558375,458855,27586274
357761,192658,26821952
659941,428712,39620328
604733,467313,26590040
614413,505672,26207190
548818,498838,27229185
415661,398729,26411930
628658,631759,27202223
642040,517835,25589361
564029,516533,39201541
610940,465115,28119716
356854,242426,27064380
533102,254012,168557
479577,242708,25776191
380797,237557,142364
425634,224626,26395031
581965,474453,30946755
731350,512246,31376086
425207,240386,145362
597980,441081,33004708
609632,712817,30568253
512490,512003,28722211
351615,265617,24607033
1501672,501696,33108632
666846,442372,34444649
363385,219587,29557072
537557,465228,28179997
486718,439020,29407750
541197,527827,25495127
562992,700819,24678565
339435,222783,27201163
1019338,491393,25913646
321701,206469,32884377
299765,230919,223547
595548,533512,28865745
502859,443431,27387850
379411,279737,33377737
617224,523270,26633668
305361,232303,29707346
597316,516692,26484783
532559,477236,25185466
284997,207190,139980
308733,203795,36234026
305746,202520,28905231
340900,228924,30823077
539650,507416,26376701
499553,474589,26788449
275255,217731,144169
288631,247689,24372941
420528,422280,29364734
458396,422633,28060594
536860,500152,24270408
293954,273965,29633376
574071,543807,30392703
299695,227499,33150505
402471,403789,24850097
431702,422781,26820225
494318,430839,28935996
314152,192500,24782233
558033,538259,27606270
274154,226109,34034280
444976,472942,26687488
432801,469624,34917161
484360,540117,25915376
301864,249318,32628744
441429,481735,24699522
312086,229387,146667
479158,214069,25426572
335892,225028,25016313
306230,209139,25818134
559149,491051,26784690
281912,224559,26102047
272905,196019,142701
473378,450485,42636838
405848,223083,26251716
306853,225405,28938895
291737,218155,24564776
338982,213706,25783746
581163,427029,27922236
324972,206727,153158
344778,206486,26951259
1148885,463391,31298181
616180,453541,24337684
304558,221652,25478372
1107891,241358,25443421
317988,215492,144618
1088458,376737,28556137
610530,441767,25033958
451887,516724,26924760
272826,1292035,30817057
367968,355877,27118508
299005,247928,26347540
553241,459899,25526100
360508,220456,136017
625395,492541,25923345
488878,452855,25814317
275406,195363,135478
262900,218523,128980
285436,246842,25596579
505676,464960,31883263
462004,460579,24777024
519232,405363,46055759
321654,224437,24392988
504357,407396,26822517
444781,386766,27365228
453042,408069,26005598
275067,193521,142702
447735,406813,35811905
435649,360853,25236615
413825,371779,25581479
267385,231250,136434
494626,455487,24862165
414839,598355,35324491
271352,213722,25199624
446609,383989,26153974
316788,203946,28760751
540885,450953,27342262
475214,394836,25394517
478208,392295,25493080
278046,246601,27909824
265762,210619,24404953
250451,224587,25716280
383017,365524,31448877
326300,143922,26547014
254363,111553,154127
495311,305290,30433865
440359,231552,24713925
488403,242878,29419774
456362,241631,26560167
432560,227597,27610228
1117937,213631,33886350
290853,119054,26201345
280434,177179,158960
278598,120565,26593683
451916,251742,25183452
264787,114524,30144379
447993,219431,34239152
482697,238664,24548141
294336,119362,143628
430223,217671,33414908
498140,261804,25278152
786930,192675,25673889
453640,232697,25701765
477623,232213,28129256
297060,110366,24218496
303162,121216,26350130
533305,243664,29647197
574503,209674,32714923
510129,257108,25514479
493468,241147,25461839
461189,224665,28216596
727766,209938,25030132
298105,114493,25581269
251270,113506,34930914
481069,262673,26639904
264009,113134,25419320
383972,115897,24043982
278805,109670,28643103
479236,276534,24113391
252587,112438,25530207
461003,254343,33022724
495299,224215,30612809
597491,177244,26107728
260236,113509,25908373
250758,128363,29267950
296800,110449,24227150
431528,258369,26308481
228019,113737,142647
223058,113766,37684608
454346,275753,24814264
390403,210268,26227549
1315038,244235,28658869
325257,117855,25555267
265684,110662,27808569
462065,241200,25787475
409738,111175,30589285
1378086,224473,25457743
479898,210568,25384775
1150336,230226,29473798
504824,227412,25853025
12309619,115928,36577150
206753,124619,26835687
335680,248982,30212336
156514,116874,29330490
331466,250501,30201331
256063,213595,24432771
288597,257192,27381104
383325,234610,24510893
315571,288022,25670036
159119,126826,29563617
269985,181059,30729334
448521,406806,26052964
242849,195577,154789
197247,188992,141359
155945,209411,24725796
337812,453907,25662880
250020,362585,28473628
264832,264378,25523394
167992,121624,142415
334022,261429,31374171
253044,240589,33859641
256006,357727,25463969
248644,239160,205582
426837,418467,38977148
250966,190403,25014269
515333,416460,26596525
485722,460715,30109689
457643,497412,37565799
455741,418053,27355384
429026,337435,35480173
291108,270608,26447024
158582,133546,25429617
308542,325503,26403442
302737,122283,34877144
149217,122180,25870500
144877,119976,27886265
265422,273809,25717186
143869,116724,36488132
230562,248877,43932153
196854,185271,26159396
153731,179049,29907297
147017,114591,25213511
274838,299062,29801973
222633,205851,33869636
295330,217452,26660938
319898,194905,25120246
343717,222377,33703108
225710,166148,32021253
322514,294561,37297880
4244747,222667,28907280
171072,111959,25348329
245575,195244,31216906
144696,117736,142876
234991,223191,32216280
149055,112087,141191
257061,228774,25411712
147357,112633,33959168
282272,202382,30307538
218627,106578,28919785
192990,160974,25420144
142137,156745,31657699
303333,202199,25329359
337195,203241,32142876
186591,102834,29493743
200966,103193,135070
189766,103238,25927498
200254,101446,137997
373690,218275,27680009
298367,181299,25826456
213870,101956,150177
261341,192698,25372764
263219,210654,25078651
221811,172621,26445168
273755,192519,35743526
272477,228933,29476925
246314,197926,28386151
355234,191892,29484952
366029,240869,28506310
395853,317346,31812298
511287,377297,27207775
427639,348923,29473147
419717,293754,32876952
429193,344324,26623567
460121,232402,26095872
403532,205093,26050571
306158,237855,28848362
283161,225477,25780477
173073,110740,142199
161182,108856,31760785
239853,174781,28240216
295203,242641,28145093
238279,100311,25248466
280209,109282,31586503
255761,108865,26013492
252718,105916,150838
287202,102068,135953
281436,103321,129363
620099,375551,25252069
339115,220980,30053456
264808,111234,35395951
366935,110504,133036
280310,107408,136320
487229,176329,26936141
577848,193429,26502657
432984,198871,26144681
464242,225195,25498434
480575,200274,30131928
280212,113671,32472554
535298,243197,25376997
9388553,188130,26982010
487664,199213,24890012
332183,179038,26328419
