neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
56618159,1774773,1504738
45191642,1024037,845161
47412081,876581,806516
54996376,4741235,4409379
45324762,938296,995489
58664085,6432448,6458564
99149839,28318094,13424942
62079951,6675017,5407576
64523133,5180449,5113835
47076566,1316623,1571029
53401416,3051402,3018937
55856414,2102407,2093509
63756050,13737201,12744764
48206955,2511919,15185476
46744292,2313986,2075686
54750784,727154,656400
56694072,2755365,2478401
52408360,2529535,2263227
52741268,2194891,1990563
46891600,1542536,1228280
59421942,1620786,1564313
47192322,1954315,1956793
47896626,1632589,1265456
55613933,2937180,2120791
60574333,2893994,1963759
46055331,747344,513511
55931439,5531284,4562340
53982183,4632315,4269522
61890691,15399071,3098676
50117283,2984374,2445232
49102836,2452890,1984797
49847688,3220196,2592966
61951277,4969703,3450508
46845295,708405,658077
62860774,1740492,1827927
53305729,1383349,1990600
70147452,6430624,8099994
49209796,3469180,3356920
56994031,6179456,6420472
51349201,2187725,1909510
57040697,3872273,3605890
44308592,1782811,1692796
54489784,5287583,4657759
48042164,2926967,14417764
53503047,1166998,1137410
48469347,1208808,1179632
68455979,5691719,5007571
53499896,5785717,4331555
51146938,3499461,3261773
54090932,1402987,1353558
51545457,4792153,4271854
43138656,1448557,1214460
58966342,18382841,1497910
60954534,5476625,4237023
48040326,2092191,1384946
47060450,891501,793855
63798088,10015688,9441290
57825104,1341477,1299968
69744219,56306895,55240058
51738135,2327626,2242342
47863518,2585466,2249485
53532349,2257894,1987239
51687737,4070497,3745079
48829000,2128805,2034317
50877756,2552563,1760618
58519952,8129106,4432425
50136056,4171153,3482378
48894799,3824629,2235312
48819556,3093688,1836195
42024199,1228049,795590
50322321,1281943,1357478
56118369,2704901,12627425
65122951,6253579,4861387
48348274,2449681,3121981
45875585,707914,1107359
50626122,1409526,1561161
43753566,784342,828443
53098267,1513014,1398482
46909086,981661,911530
47119369,3235892,4034907
47625224,1422969,1462012
48440756,14106704,2075840
48671793,1802310,1627630
46159013,1208815,982957
47985453,2129363,1400571
47708598,1340405,1047853
61054128,1593305,1536150
57713099,2812894,1918621
60091141,3020774,2601322
58616027,4541980,3827693
52245174,3500895,3075463
52078089,4645033,3486430
50437641,3462984,3524128
57940312,2409859,2805226
54320888,1342270,1450003
59265598,3121992,3080890
44921525,1554309,1311945
67918376,4950753,7535003
59141334,6043525,8755439
48534241,1523662,2377628
50761887,997500,1028534
45230341,3340204,2616101
49845604,4328131,3307590
62374860,5633953,4152031
56470960,2759201,2786505
50044670,793678,716076
52969298,2608672,25918154
49279664,1680109,1870947
57977888,1727586,2204258
71171821,24645407,8204707
52878453,3639357,2987919
61057156,3770102,3561093
54127614,3065124,2354653
47536493,2145553,1653775
45421191,1991598,1507978
65979406,10894788,9537739
46327697,1655335,1481850
60118920,1171835,1096267
85564080,10003384,9469089
50896301,3370962,3098652
48363574,2460268,2032127
47786558,735220,751526
48462744,1911247,2061122
63163953,2241279,1921490
43648795,704579,693961
55001298,1527934,1398470
48866534,3020368,2705986
58743619,5897318,5187200
52877375,3524010,3283882
60650690,1665064,1352246
66052705,15965443,14893937
49895356,1732106,1495610
56194110,2426400,2143749
46304170,1738679,1439229
57123525,6156914,6299308
50683474,1872221,1352048
45409013,1747204,1292772
45186250,2629252,2408196
48514515,2064177,2111691
57028158,4311332,3844645
50144029,2991280,3249470
51079599,2565679,2349142
50917536,2718652,2394781
52440636,2458348,2294142
51782371,3268145,2953563
48535688,2196967,1944709
45565046,2061969,1843190
45676751,927858,937527
57169623,1571690,1089767
46828554,3089209,2559185
57752828,2626497,2460180
64775743,5426685,4839225
53031932,2693601,2166963
48845946,922436,917865
42540922,825587,780381
44905261,947307,766342
48428608,2100335,1567883
54466281,3754330,3382957
56402859,5717104,4925023
66246004,15213597,4611114
49041062,3716860,14688637
51872581,4449967,4643342
46624638,1610851,1727644
53398848,2207049,2249065
51964734,5728248,4083157
51608299,1421900,1489558
45471960,3152534,2777003
52476252,1525670,1409629
45949111,2239536,2217128
58828267,4068056,3702094
54168429,2336826,1969672
54353700,4286513,2966572
57442832,1886438,1606730
56991678,4682841,3699370
46167368,1967121,1868056
50025284,1436084,1197165
49929525,1208209,1216394
62288278,3673146,3905106
49776622,1224188,1467781
47262352,2535799,2239761
66464803,7247021,6305826
62463890,3086565,2737877
51604199,1616587,1283976
51492041,1291653,1093453
52297379,2724594,2909386
44873049,2538405,2003608
71075714,18286091,4578864
50415589,3058087,2484605
52390530,1266410,1087862
49934080,3202606,2260447
55659496,3917129,2423874
45008136,1014539,12136640
51449711,3133480,2704094
62420638,7448819,5032392
47541054,3133858,1723105
55886786,4641935,3034534
47772034,6500237,3748622
49779865,3481692,2152747
47149374,2263745,1582448
52051773,3178625,1819637
46920066,2436724,1279949
58598165,3025151,1409872
76711518,16487932,9621380
50501830,2356807,1444169
47328215,2031448,859322
63558070,16417438,9164346
45990004,1407804,1110005
47490329,1243379,1039316
57193929,1041381,1643262
60227979,4048111,4016336
58790425,1532092,1639326
48588039,1904143,2252072
49380982,2911992,1909915
44895737,1301890,1145088
76399587,9725934,9568833
49775694,1994355,1738385
45780366,869326,767089
62126261,5146207,14869499
52329293,3107962,2900427
50855283,5880163,4481267
42801153,776972,933492
51752071,879968,944431
52715607,5024747,5286049
56472746,3829618,2202064
60015066,894302,966394
47481690,2340882,1877246
52670517,2433941,2410877
54085093,5900045,4765451
48979954,1455087,1365247
52476521,3107512,2486404
47235591,1411003,1339070
49477895,2399003,1936445
53446383,5243215,5140983
52577548,4315729,3617702
54637186,4866695,4060932
54900903,33675364,7735256
53143016,3481414,5942575
45330070,1286672,2582715
55894165,2597147,3740197
46650462,575025,701159
48429942,2549024,2362797
59142577,2204541,1678863
49529801,804066,611630
45813344,647354,628362
59957755,1052418,1216481
56459434,992765,833467
55786257,1887464,1710972
50127223,1089140,1110687
45732601,1862284,1778089
52476430,1667245,1659659
61404299,7512580,19427706
52293520,2065737,2050498
49695101,1254232,1271969
45954711,3907418,4153340
54520475,3191658,3169153
51207224,5475813,5040436
46031793,1228386,1204600
66974209,7499367,5815056
54333933,8783138,6665032
45235978,2207727,1398428
48399320,3707822,3080303
48686631,1655841,1345932
56574368,1928005,1556528
47319703,1492567,1449001
52597242,5609283,6911762
58860463,20136696,12108644
48238565,1475392,1534299
48541630,1414044,1418500
43347887,1349306,1227053
47347490,961771,1068344
47761652,768753,859882
53594426,5762624,4790392
51202935,2256761,1901988
47400915,1229126,1228679
46530776,1442386,1325252
62443245,7827813,7260387
49732769,2734092,2453839
50141939,3095734,2764567
44618216,2407161,13131442
55264492,1250271,2058776
53261241,3907567,5108086
51419232,666297,823592
62780588,11686803,14295600
53749905,4565302,4114368
51819526,4315951,4017297
61634923,2201926,2051049
53998715,4260355,3569227
66682192,7019818,6092771
51661430,20848836,3669204
46412709,1712090,912364
51354613,3773683,1897050
54115404,4918361,3664469
55718999,5788671,4277404
57150888,4870747,4011813
48245532,1429707,1220121
55608470,4068223,3016129
52117274,1966491,1812623
47246651,1207139,985750
52243199,2258351,1835226
49200936,1280921,1124062
53277485,2693294,2621417
76770726,8613928,19024802
53455377,2972308,2803709
48693180,4079452,4171158
63535752,802518,860469
49895434,1229128,1466699
52647166,1937213,2118179
46242509,1248928,1106294
45608140,1809844,1463711
48117280,1607283,1456273
53834229,3951814,3985760
44717252,1126256,960502
53165777,1638078,1204342
64135051,7126559,3761375
47851770,19395205,1854161
49174434,1246797,1048370
57888475,1620535,1443449
85434460,3253046,2963395
56160270,6437576,4533608
55701016,5813223,4745312
52841426,2288633,2007154
56062397,3161021,2814370
44825376,1080584,1123621
52225422,6691446,3910816
69515668,8889102,6611847
46328139,2455263,2231660
51353586,5382923,4221182
86235895,16929723,29798918
49052440,3599939,4201007
50494832,2770476,2307390
50122980,3399694,2158976
51960964,2199187,1213976
47684723,2060656,1649206
50697477,3214155,2580813
53655691,15386785,3102693
53454266,1810094,1688382
46628343,1089395,975558
48734411,3099012,2687148
57986208,2512729,2625413
82378110,10952903,10891306
55480090,4660322,4202273
48487421,1392859,1711931
43533297,1605280,2071096
51502613,1044912,1037385
63025581,8688959,6943862
49261579,2401178,2248676
50486159,2879045,2416102
47214089,1555384,1453471
49576474,993889,897037
62353480,4415068,3531370
50003166,899174,1123560
52391310,2415518,16490341
51846020,3412250,4532352
46896241,1229399,1563979
51560384,2890499,3475560
48111451,3626451,3835827
82276100,25194757,9696707
73180937,9812452,9278769
56174833,1852066,1741900
58409159,5695392,5193346
49587798,1545003,1455045
55913862,2471310,2115874
49976439,1161961,1128491
59739387,4879026,4500965
48076259,1188994,1154824
47520043,2824354,2786452
49280958,1021917,1001059
75373510,7417716,9111055
50329127,863667,1626566
42224053,1090425,1775968
45137486,1352286,1277439
59350110,3054550,3441608
46725685,1776940,1868073
56145170,2002040,1818838
46852805,774488,852997
50462193,3252593,15223985
44258767,1801167,1616969
51162368,1041901,1119883
46457000,2415553,2092939
57774522,5701813,5159601
56096609,24757856,5975271
72559141,10310487,9435784
49781927,6102203,6740629
52429165,3497288,3288271
75217611,10158946,9717835
54334868,3327185,2364897
59180984,3199393,3684235
53137822,6242005,4350133
65790353,6987030,6195658
50621612,5289687,2471398
51123116,2070332,1257302
49742202,2245443,1923970
52465178,3677931,3156833
68716917,12424895,10977757
54351098,937731,961993
49339573,4219942,14364245
49624843,19595316,6609974
48911993,5122226,4320866
47665728,3548410,3193764
85402816,9523807,9411500
52594051,5923619,2332815
46239049,2331302,1666979
47882136,3627909,2499964
55146573,2791557,2331048
57272745,1213869,926705
57257922,5496567,4127026
49011287,4275935,1823888
48303944,2576024,1404873
56581082,2735953,1220245
56813931,9942686,5712618
48873964,2612190,2215435
51381697,1454440,1429592
66200688,902414,942432
49846852,893006,747061
62936468,2753151,3155363
46542806,848847,830996
45489177,1287659,1348974
45106048,1261305,1666275
44005421,1238101,3893230
47047639,1863073,4058457
52178347,791887,672174
48190848,1285962,1068585
46573592,1219103,845218
46439429,1168992,1390244
59085870,15567483,2293071
52000566,4408922,13694520
44882015,1563771,1429190
47350459,1894301,1716544
56299878,2900903,2280108
52162548,6000671,5131464
56976939,1801320,2647347
49898968,1925987,1863110
47957289,1603365,1715339
48631007,2293291,2360753
52203590,2960651,2616702
54836144,1684407,1443324
48789615,1544397,1188153
60562062,2092082,2026091
46924788,2781769,2145340
55561484,4898662,3120492
45761684,2843570,1408507
60959187,10211308,5721252
47748948,1226554,913725
44758708,1001725,833781
54119560,2658380,2128682
56192320,1194917,1159122
79117206,9784039,9239813
43349636,2546427,3005765
52938946,1164949,1373293
50157993,1016824,893650
54026506,3191323,2724847
46504021,1719353,1501600
47019628,13574206,1770694
48437057,3387634,2938842
57203826,1897661,1797877
46743303,6313606,13268914
52786410,1841718,1609233
64271515,7075984,6181942
46599306,2887121,2222146
55453458,2219583,2515680
50176380,1764967,1889553
47856084,3063486,2668013
56482283,3103262,1888250
51291094,4578145,2603787
54929679,11269022,6386444
45773436,849182,765976
43283463,1711212,1384127
56986843,2976614,2951575
53433046,2889009,2634862
50969130,1981718,1920154
50716660,4901830,4388216
48460393,3193185,2902047
57740700,844360,800338
60602410,8040497,7472332
53710327,15975968,5072188
49033905,1970127,1736952
45212619,2306611,1460219
51066894,9035567,4375620
50514926,6170985,5812355
51705385,6434408,5916833
44154805,4186089,15201627
49847626,2705841,1339832
58142735,7457513,4508458
53068732,11044716,7208424
49068868,3451998,2320383
72060606,21321654,13461571
49049859,4817291,2336415
61395042,11235937,5740028
59423140,4308766,1932905
53793210,7084843,3684683
46244432,2357705,991217
66508490,12563115,5790552
50829567,3566866,1860137
66219356,26883176,7795343
46959876,5159789,3021316
45289775,3918459,3180184
53369677,1316181,1181333
46695180,2835921,2671092
46967924,2832806,2306437
52068270,4905381,3867521
49967665,4133871,2145337
57791218,5426819,2427570
80229187,16911272,26169823
60743672,8002414,6410622
48803388,3470056,3318196
52503025,2602029,2901956
52849964,2183440,1787330
52340696,3990978,2993540
51881016,5375325,5936148
46383797,3005085,3132894
51472728,1861693,1922382
51889991,4196102,3729694
51495098,7762712,7192441
47134784,4070631,3879420
44936505,1174064,1219799
48163246,3352349,3215271
58427879,13658443,12703209
42273008,5940945,2170210
65316036,34152116,9691056
48230178,3488447,1986713
46563250,1757665,991771
66126242,14531134,9366115
54012401,5212090,3471965
57106384,4307576,4243546
54143688,2828409,1684841
47498162,3475845,880478
50019183,5589015,13154164
57431503,6452536,3927578
