neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_gremlinp_1K,titan_bdb_untypedp_1K,titan_bdb_typed_p_1K
535398354,6487296,16922989,14985769,161086014,404308649,446401635
1250626593,119040883,344590747,295692855,907973772,2115376619,2200225944
523389173,110196950,286031236,261906920,28323881,58552741,56907641
416648352,25182939,69076993,62644356,374471006,881320374,933756371
1027142753,315315585,842196535,733629524,297863339,747679363,748973288
1351865630,1908329,11744980,3943289,67792291,164515702,160659234
513537645,25455800,75325820,61767158,36776331,87404350,85049256
400025780,228869847,594620568,523869867,229525423,552399205,575402935
4455758151,152073557,416252425,350070702,128174882,296551527,320784522
2244711115,42041188,112906252,97661536,120827223,340017029,309697347
2018461943,109969074,280560854,226861992,168241744,422716411,443614681
1014990802,109226535,285519925,227333354,629612052,1768448935,1742312220
414388762,312422792,866226278,758137596,34385827,98017075,97020990
348570308,484696887,1282740989,1049097490,239315776,594373753,605189908
1577359158,13703771,30441932,27729283,19523900,49608283,50913109
1346108645,98914024,269320016,231108352,109453811,245081331,271745202
999208875,34200528,77612504,68140873,7032062,29221024,15693255
1092675604,37594497,101826263,84221369,8256701,30385655,25399921
2436303966,18304146,59061373,43570280,544138846,1215209152,1271454331
1203812906,6916340,16017555,15872914,20178569,46135573,56139815
295741834,14759265,39347422,37322696,54091059,112055149,131460007
489250998,1029741491,2691737150,2327036553,165631584,386263295,401642836
11998722862,14007526,41681562,44054289,5594576,12537066,13334479
158117622,22370075,61096074,51750250,54228649,133756452,137251890
3824087015,2834509,7604329,11340867,148758443,361168503,372349431
5593966350,37910528,111348042,93368689,516665233,1249495616,1278532267
587201197,89528108,260608956,243027358,5956271,13025661,18528029
4202544619,25172895,67817508,57420610,119164520,283310194,285101546
533260671,532669034,1391923608,1206165959,469788734,1073375670,1138537289
322420201,63740943,155966809,145295083,23249403,54591632,56036963
122226752,36249580,100071412,86321974,30016601,66602897,70915053
1196574437,55573823,147328735,129931941,598527566,1443784370,1569450192
366042846,306337227,782937842,693580501,107566735,243775268,275539489
1845927057,22295512,59557589,48259294,22888822,40961866,46657024
1090213872,6526361,15733501,13630441,66049231,153745330,174330828
2195045121,70705624,226405660,201100401,1839061292,4702963365,4923489587
541571018,40686623,141082730,134663626,154248614,356061889,383142927
