neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1k,neo4j_gremlin_p_1k,titan_bdb_untyped_p_1k,titan_bdb_typed_p_1k,neo4j_cypher_p_10k,neo4j_gremlin_p_10k,titan_bdb_untyped_p_10k,titan_bdb_typed_p_10k
336472,1252131,939619,969183,14934545,1199042,485367,696429,25380322,1840119,2879620,2758320
628393,1371860,1448734,1513510,20598121,1651993,1536437,11132134,15048430,1370360,922368,752631
19807358,1564673,1639741,1849136,2613763,1748602,2323990,1438234,20179057,998523,997998,469778
21678825,1584286,2271949,2535922,22966259,1714854,2005615,950285,15095794,2624462,871697,454928
21279263,1278243,1645723,1980507,1158152,1286898,1502185,778581,25705593,2171121,4537632,4017444
932602,1376356,6006883,1696360,15671817,1334957,1313000,903545,40734406,11598169,5465476,5367915
18658634,1803222,2550762,2807288,20468729,1330953,1534334,1321190,18736813,1649416,974426,890196
1071602,1418670,1427757,10510024,15595558,1342748,1141075,911360,23852140,2335000,1251097,1291409
377059,1157275,940458,1134269,21300026,1675404,2876985,2453211,24724555,1614061,757827,895350
19976007,1242646,1164716,1115201,25489961,2350441,2472970,1394458,15980655,2025288,1462616,1565081
1457416,1430888,1974117,2014682,16638055,1972983,786086,644150,21014698,1287585,577079,14149098
19083015,1215034,1696725,1630225,25109217,1886661,409906,467422,16194655,1376211,1735994,3106041
20825695,1452647,1743517,1695480,21729344,5225522,2492929,2234933,21731164,1274045,797398,1275386
334577,1155690,995572,1008514,27196508,3159160,1135555,978203,23004414,1274656,545213,1157851
19577534,1149731,988225,985007,24132721,1229633,407296,396975,14916941,1135512,761205,1296939
419340,1028706,900685,943346,15550941,1348791,561882,529779,28754219,2986568,2463138,3847363
378258,1312619,919237,1034544,20098097,1446854,676703,554416,14918918,1887448,826543,1284427
1374591,1569573,2287977,2527109,15467439,1245145,553856,480488,20888855,1564656,13539846,2843001
879600,1345110,1509890,1529542,21494002,1322873,584583,539402,16098736,1667502,1325947,2500685
659370,1211523,1176927,1582847,16074911,1449012,1284396,720997,22979242,804869,505318,1102330
848199,1269311,1818286,1768114,22045710,998996,1278277,1123105,22773459,1191216,973748,1769594
1348317,1419750,2025310,2080266,26210697,864753,840317,782553,14734373,1021651,931029,1782643
16658894,1094446,807639,943666,15828500,837256,586036,547026,22988134,959937,1058981,1115562
2890836,2053236,1263817,2234323,20166170,825492,541726,510133,14361718,541674,431977,434006
845674,1300950,562112,1074358,19192677,960065,1028819,947946,22049554,1374115,1194813,1078709
304910,1052011,441280,1247576,23849808,1093102,351175,426729,19600486,694524,1032510,521689
1871952,1555668,880007,1923110,20159561,1640185,1276888,1447252,15916623,1755134,2192165,1226610
580302,1217757,498217,1114220,15476417,1329825,592784,577091,25941438,617595,1015471,593070
297476,1075872,403417,909935,19410058,1334631,666198,685566,15161799,700767,1271951,649061
751761,1142938,558907,1167691,18304418,1456488,834173,830481,21071080,925433,1843808,877530
684279,1245458,612838,1008087,19618727,1331840,639904,644903,16191363,999532,1786691,897883
299589,1028401,490413,865452,16718112,1740241,869263,796533,26282818,1232195,2077080,1539319
357616,1015115,495421,964657,24694508,1191027,560788,525310,21344598,800543,833109,646439
334602,1094661,456444,833310,30752532,1520804,867230,1136532,17845110,885420,1128406,1041443
1038499,1576588,882434,1661469,29621711,1536776,955441,897683,20947542,578229,775709,719015
1090338,1346688,806122,1586246,31899122,920026,402950,391918,15083883,685337,773184,704126
717438,1301579,757458,1406426,21031627,1135758,821064,817846,32919356,3376683,2380595,2228324
771647,1190351,875138,1418989,20447551,1737085,677799,653255,20240470,808108,788852,722339
2075476,1420866,1041074,1659508,20225018,1304918,812647,741211,14909843,739626,523229,413108
1443329,1336835,763501,986994,14811008,1314392,818988,589927,22664594,1339560,989186,920719
29446719,1344174,953554,1430043,24041330,1101785,505718,441545,14647508,1041652,1364204,1303405
1927043,1644073,840160,1372803,16267764,1835906,704351,654803,27903535,1493021,1661921,1550247
1606395,1436417,1186480,1695249,20261540,1369693,822620,753244,21009888,538718,397086,357292
1069573,1298751,721493,1296862,15616914,1149526,438332,405896,14728351,527685,538787,532423
333576,1053753,427443,904604,20974991,2605755,1188162,1109913,32069131,12969249,1758781,1698808
19977437,1027677,403471,943710,857325,1193170,733885,660390,14468131,702060,618356,582735
1445536,1201627,870211,1768267,19115668,1173961,557818,565381,30269032,684476,829003,813324
805476,1341980,536498,1285986,17540448,1230024,892183,821836,14982252,440981,460115,470639
16968210,1170072,472539,735918,19229092,1073231,414988,428795,36712915,833776,1194704,1184976
21142363,1331360,798601,1202437,15082149,1254348,694970,712878,19347557,530174,660346,605950
2051965,1441923,826571,1084906,1326585,1357763,732823,701822,14617654,737454,590966,580768
23708860,2650108,1584109,3086023,22383817,1105032,525526,515794,21471736,520482,484875,508133
701447,1174326,655482,876132,17717172,1074200,421016,441455,16027037,878535,989629,969764
1640134,1400037,988767,1205640,19269638,2673400,2321067,1785442,21672223,496827,596174,961549
8271377,3110933,2008592,1997730,22025358,1829567,2263169,1654841,20895349,440764,435577,872398
1369760,1345371,847213,894222,15611789,1573857,1234123,910838,15009055,812701,832510,1599884
2826066,1923707,862575,899063,23758181,1263698,1169046,824276,22070663,538330,729342,1300801
1189063,1249380,696680,716329,23579275,2136428,1706128,1513055,32056255,16324118,3516122,4603009
1307709,1399979,824723,677715,17919389,2563438,1688187,2339755,22417096,1023187,1532850,1616711
20072500,954790,492053,432354,20431991,1234010,643652,1057008,21322883,477084,572374,698445
1418133,1145766,757767,765368,14946614,1121780,567860,1255499,15301357,529484,938812,983942
1456773,1332668,640645,606926,20122198,1138024,529682,1135542,22291655,542539,738935,777479
609016,1105462,399853,417953,21648340,1368509,1080917,1992426,14901473,704589,945913,977188
510829,1000492,379001,505922,14933868,1107768,566129,1030399,20862417,890897,470978,531859
703425,1027505,706439,584176,20572141,1386628,664594,1093209,16106641,905251,1342405,1342162
20919760,1077439,705751,757178,1445321,1296311,1046858,1737279,21749222,745562,808043,760101
1397660,1180947,883285,1023983,16378908,1362339,760865,1542505,22680958,703497,1360165,1485169
1179027,947599,827118,886220,20613195,1344146,1626513,2977072,14786408,514211,703720,751362
745111,737938,644879,625348,22374191,1304104,1614954,2713512,22815898,702116,1579386,1637971
21329301,792090,811771,778878,15248865,7820173,634524,981005,15993723,767883,693117,817916
1551398,774052,839668,794590,337615,732554,383790,504471,23948988,961460,1301479,1273882
458045,526031,401431,375225,20373726,1057709,836302,1023360,21006850,557471,588820,615736
1402849,675521,827323,776938,15720092,1114846,814182,1011142,16191277,1678898,1276612,1322433
383309,369777,402295,389604,21749970,980720,1007013,1101902,20893543,671823,644492,682732
17978101,400737,702377,660963,14710207,867574,7747349,877512,19591843,1202077,1020722,1049273
1811242,474896,852832,845551,19956981,1204035,1212096,1053153,22890069,1228169,1217931,1233341
