neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K
8381346,11293440,65594220,65412856,59036185,77547267,464418926,460145110,1118355039,1373744958
9334502,11004016,69804571,69141123,74110317,77117327,462000204,458003237,1136426324,1355444454
8984473,10929938,65713508,65761489,58809690,76021456,467201781,475171031,1119462919,1373006351
8589694,12382224,74309464,68700024,55771207,79554042,463923107,460822533,1106178908,1365603961
10815859,19060598,66460625,65129174,62389747,75994752,470788568,461568076,1115254965,1378456238
8922350,11377141,65689131,64756407,58208219,76404862,459622086,475193740,1116044561,1368803239
8403921,11257551,68822157,69188175,58293054,78900027,469192089,462441981,1097402384,1362881343
8230567,11425395,65782032,65481741,58860305,83218178,464764866,462588345,1115477526,1382411272
8676994,11139713,68768616,68528907,57851861,78464529,459594367,465201494,1115138603,1374113726
9039152,11090228,65185279,65834851,58255485,76985641,466410149,458957711,1089547539,1370242244
11411509,11741301,65625648,65165632,62884965,77694899,464542069,460898625,1102913255,1365621320
8538914,12041039,76609520,68479831,56710511,76976410,465332754,482894375,1097079171,1374038551
8383108,11764168,64675362,65640024,57272232,81906992,461564433,462047272,1101468629,1391768516
8203537,11547912,69436389,69116153,61122831,79356189,471378808,460970714,1087491835,1377322931
9496731,11209762,65034160,65355677,59351241,77370533,465193441,464912746,1132893592,1362899648
8973436,11037805,65159993,65612135,58130747,76258913,470139361,480656975,1105214342,1367760748
11191879,11133567,68687766,68732847,73744729,81062495,466722374,465334040,1111347736,1380140794
8594264,11071755,65762400,65481535,57699272,77055599,468422932,470096081,1114793705,1369457512
8521683,11046272,68751491,69268122,58235269,76305730,472894084,463500657,1110459913,1378056238
8397762,12190824,65777703,66025250,57326016,80938775,467603283,456379598,1146488610,1401687582
8270847,12203930,65568574,65923978,57981384,82223334,474896887,468267185,1098711124,1399205604
8187044,11660675,78164470,68901142,58168397,76392396,466352128,474469081,1103438305,1365077746
8207838,11370459,66171283,65633245,63177160,77050536,470387612,457885191,1104316297,1398123565
13143163,11858479,70267836,68003645,59848203,77180477,473241743,457391139,1126605373,1390854869
8343567,11410803,65718087,65191084,58551687,76251730,471211459,462980209,1108290237,1401115290
8708144,11761730,66412994,66716804,59413806,97138929,466266958,481246207,1120623489,1372425094
8302635,11634006,68994360,68128413,72347015,77052164,469750541,474350621,1104571710,1355765748
8447582,11454233,65452906,65827377,58851479,74998765,466725223,453466777,1120453318,1355609583
8242939,11722147,68909807,73256346,57695085,75661581,468599271,476981568,1121650037,1367242722
11520789,12143907,71470051,67081313,57747578,80788591,463985993,461849425,1130331347,1378620936
8679639,11407912,65233468,67651591,58778798,76127217,469285243,464290556,1122081972,1371798529
9042672,11321850,69022772,69061735,62450166,75524032,463846539,472577439,1123777014,1393984396
8533426,15517843,69574590,69232946,56914329,76706755,466627957,463731891,1099781054,1374531384
8492617,12346452,74423029,68750690,58332796,75671455,469498661,458695143,1132850948,1406260987
8217946,11805609,67001966,67928920,57346605,81218626,463936147,457073873,1111164886,1368120641
10985532,11443296,66451146,66549481,57123022,75433093,474629130,460941469,1100239148,1370983540
8708178,11199040,71378265,73766116,57542987,76609597,459615270,478441732,1121862053,1415882506
8470417,11204925,64918646,65125378,56012637,76182184,467519136,462303387,1124731087,1435741503
8381416,11198909,65040622,67865429,57618763,80046354,470630623,454726099,1109038899,1405063885
8234352,11174564,70054998,65790678,55799388,75805016,462807264,462590686,1101520924,1413312675
8274875,11091437,64826301,65393415,56175270,75633936,470760544,458524727,1136627091,1419582487
14425009,11088217,75651217,68333972,60450692,76656788,471904336,472848640,1101724004,1389234127
9070385,13213800,64716103,65514686,74072491,79477120,472584802,457594890,1104232454,1393325925
8470806,11774111,65975667,66073210,57148062,75777606,463121626,481206720,1129203826,1392929625
10101477,11741270,69034375,68100471,58216756,76477668,460849819,462173897,1108626295,1380032746
8373192,11688826,65381686,65734648,65301227,93778479,468661176,461355387,1111872132,1371870371
8299835,11306607,69773951,67464470,65600215,75930846,463599795,461488438,1118910279,1388905464
11167079,11254300,65092195,65337765,58830167,80776943,473356392,469569036,1131385706,1391485602
8290305,11629661,65353339,65554549,57603221,76414400,486280228,457689492,1114781530,1410882543
8265158,11512645,69084224,67114948,58884000,77924838,474572289,457310577,1103981039,1388093587
8238036,11831014,65148280,65745512,59560441,78921164,463288419,463133866,1100882124,1404234575
8257152,11599634,69644836,67812463,58511672,81329431,479043382,467496809,1105384001,1405164519
9035628,11542936,64951108,64811173,60377140,80936281,465094353,464279830,1096498406,1401796081
12245928,11255390,65005210,65818066,57805711,75541582,460678622,453539928,1106910890,1403755895
8663046,11140729,77187763,72559195,61042946,76789409,474612355,459241062,1095817346,1390695841
8709216,12157493,66083812,64882829,57963212,79811420,462792554,457695153,1115051445,1388498798
8253899,12304292,70376920,68497448,58713491,76215935,464922070,470264579,1097623917,1377470959
8431587,11948588,66608492,64839835,59751607,76372365,457839126,451679175,1071865280,1423254374
8388691,11344507,65181307,65024055,57627732,75825363,465606109,461425729,1103485255,1411023203
10616274,11300042,70416239,67991390,62484003,76985217,468950354,465285837,1104273384,1408966682
8377919,15045036,65972158,65689769,58513163,79399932,462339399,458332478,1134273051,1384759057
8265975,12119590,70589566,77174786,59212218,75612531,469215518,468902721,1110927049,1400032056
8584471,12016426,66758613,67294261,58979980,76470826,468799330,474989094,1112386405,1386234650
11985449,11409886,65721235,65828690,57922521,75854834,457781287,460024787,1103231245,1419021658
8548876,11413850,69478514,68111751,61658093,104944824,473501766,456030276,1102412274,1384311804
8511546,12017793,65787465,66211864,61982154,76074343,468028343,475883249,1100313713,1388936644
11260977,11216015,70891026,68543326,60523784,75841520,467116361,463258246,1092509483,1378941152
8303099,11122348,65897300,64879701,61225476,76559259,460674209,463238052,1087788558,1387423399
9710346,11749725,65556130,65694267,57885409,75607491,465449528,458579453,1107150185,1383176563
11782119,12243236,76350688,69659182,66713781,82743233,467013921,471185519,1101504608,1385208622
8435121,11394668,65276231,64766396,56526965,76019933,459730214,461596212,1096241167,1389259784
8489289,11179703,69006675,69654155,61905249,76371988,479497276,462460855,1083715306,1367694115
11519215,12079092,64857386,65052745,58115132,75980804,463077310,453578583,1093643027,1378579199
9477956,12536557,65596986,64975898,57402362,85098294,472147697,458031995,1101252427,1372058371
8600215,11552793,69332559,68888255,61200492,82456493,467767572,460555310,1120427105,1364996055
8526755,11643038,64940485,69711517,57419140,89518131,468315717,453337223,1100008764,1372779547
8431361,11587009,69001303,68039781,65808806,76850031,469997868,460036206,1121680945,1417448100
8357065,11180190,65589087,70660811,63703886,84529900,464317687,461203450,1091824369,1383400842
