neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
1398401,657353,158403
1029307,99042,98050
5661147,652123,728751
739062,97118,123420
1340743,371657,392430
1556227,324394,339083
1209954,148306,156420
3065260,557443,710999
3199411,519307,719242
2085493,424858,528361
962961,102315,113968
26621658,325756,364526
2745786,537745,478517
1275629,582111,440329
754780,175953,139704
5640797,1094717,929689
765457,150437,126451
591996,139610,163687
19268250,444866,424956
1439114,77175,71317
1217800,544220,506850
872967,254245,290371
456244,139017,248409
17458458,105974,203431
771569,275652,292489
20644972,413487,482274
725753,606053,395824
405283,127263,95700
17894737,396172,4090060
972588,165715,158618
3647538,960503,887949
805693,186202,137680
735369,408228,587041
255122,79488,137834
442180,152012,275742
1508484,676494,1152524
1497373,579984,703037
1039541,416548,477661
1208848,437078,539684
19761903,460139,484044
499973,171816,219776
1328743,520963,641511
629340,377201,397851
484557,198066,191038
945730,358480,378535
21412619,478442,580337
2585072,561325,655695
17646458,18163,22166
399554,81609,96522
19524491,102564,137519
1069731,410531,512090
1283823,437728,526708
572549,93973,109196
2042928,567136,668436
1208674,298259,353911
21824698,246510,301969
858498,251270,265266
18284726,479388,566809
1402685,467323,559747
509726,141420,171546
714049,321824,430381
1337072,506008,605371
23774528,85398,92700
757000,314800,379919
351244,93868,129689
296334,99584,135209
17545039,286039,369928
347502,79125,123034
599747,150469,166407
420827,103851,184491
1027691,416227,494708
5553630,933181,1078010
1287230,214525,271968
1556514,406842,518782
663641,196171,141656
490729,100921,124216
22502332,373967,450806
361187,104341,102133
1003219,391478,442685
359240,63573,74665
402425,80974,87876
823583,271069,529061
1100735,382775,869210
1394544,498426,1054479
904226,436858,702109
1259710,525461,1001756
587681,155831,169858
1784601,469458,500341
818075,770003,729400
1396270,1169111,1116203
1550732,1105439,1148220
356646,175848,192156
355720,223078,231318
1413861,725376,780160
861490,553630,645843
1107438,590462,705083
748834,271514,350093
507984,147131,183210
735193,651534,799218
263069,118989,166462
1601420,1156085,1170797
823083,4435520,753306
22138368,846589,1410551
1321740,792476,484718
706225,537860,288910
22844420,120526,60392
865069,752866,439889
521830,359642,193242
19416184,836195,463183
684014,664998,437611
456300,173852,113536
781541,674560,420889
27510758,877708,535724
714817,584646,371217
740372,617530,438828
559894,472822,230787
1653265,818605,504563
1585915,907523,560846
957689,377411,235015
377363,170336,96721
834349,324979,228815
1794857,1139840,666910
2667078,1191672,695638
512200,116705,87412
995155,524575,431662
869509,368975,209567
19879313,639560,531177
1325287,558886,472690
17430206,481639,4853638
160598,22360,24254
442971,131095,115666
650385,401658,358476
21774642,197590,182689
1434230,514423,418631
817854,407375,305591
375731,81514,62034
1490036,604364,487953
510564,110703,94913
1013985,450421,379933
462870,105046,94644
440663,116647,87630
622775,433007,327282
17234280,134065,137736
501958,144689,127184
1115300,536199,472636
940723,470879,389546
785281,394933,326629
444135,122493,94366
621257,175607,154573
20010161,160838,146528
351251,89307,88144
284559,122929,120317
486172,158636,151607
1901860,958913,535124
1077668,951609,494238
353164,246385,131297
738473,752278,391537
741589,731039,389351
736674,335805,183974
3123814,1685527,935133
826358,724095,431690
703683,354804,177188
656020,340968,158585
1066339,761554,388514
22199510,962754,498547
18555659,328594,166336
839585,455760,255303
3206893,1687210,962242
577097,325962,183692
1023871,850460,525426
1516163,885446,486323
1454697,1054142,802995
245758,109615,102934
