neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
46592426,1166971,1332129,1412983,49928544,1579057,3866161,3940257,80331866,27320174,66030776,31753636
49214273,2882577,6032547,4713053,52876989,2255644,4328180,3981212,67184554,10760356,23912342,21103470
49912593,1460467,3269220,3104947,50023185,805076,688191,888197,51197658,791982,784447,733145
44990394,1764725,3160890,2381819,48258178,766315,1668367,1804190,61990574,7329906,21668929,19308585
53737872,2042936,4189862,2906697,50858583,1676059,4873370,4459753,52381298,1206974,2511017,2205263
49097649,1275899,1983456,1759950,51084051,961692,1413412,1492697,58028452,4820579,13433857,12080987
46628700,1392207,2593128,2240110,45472697,1363611,2005682,1597883,52243566,1900116,2850568,16693133
49093175,2384877,5134522,7487459,58549291,3030468,6879978,6018317,52845522,1490728,4246351,3690164
51465196,1243118,2519017,3648774,50915733,1985063,3226820,2820353,49881436,4089386,6766285,5664872
56826833,19404305,24380000,10826194,62544061,4033576,6476083,4933001,86114252,38402266,102653907,73547501
48579653,1496181,2561911,3609535,47544739,652236,1010372,895660,61193985,3874052,8409895,13169418
53423197,2047992,3999129,5240497,53405444,3907595,10369840,9818186,87810782,22372393,37377151,38205528
41044336,1052600,1484915,1488396,57548338,3263224,8367836,6648637,106879106,29309539,104810565,93403004
47435332,1996476,3717255,3353120,55775437,4197385,8472301,8147850,83528802,12022103,33949427,30381622
48790112,2105413,3597174,3065808,73853932,5824130,11772757,27698545,51942015,640510,758262,731574
47647131,1768786,3455341,3004955,51589017,2148201,4189142,3404298,58231545,2021413,5407771,4707026
54217508,1879035,3845297,3641561,49900197,1192794,2540191,2336676,57885784,3799022,8602524,7467743
45174133,1035883,2047546,2076911,50315824,1610113,4051218,3732913,54918112,1297526,3247209,2942578
46884159,1850900,3533514,2795994,46774074,797500,1922447,1717490,55356385,1255205,5087278,4520891
46213777,1826140,3953598,4146262,50794880,1610631,20018587,3808177,54138547,930972,1655493,1459044
45244414,1069785,2069814,1973278,70934189,6862659,19159521,15277050,63513211,23195110,81534080,88449815
43854670,825083,1859642,1575451,52457285,16230472,3989609,3480224,51765787,906357,2244733,2231688
47926407,605849,933974,840504,53522340,1209467,2713071,2091575,44254341,1634107,4013514,3977358
47618634,1599159,2737502,2393401,56281338,2100824,4246367,3611869,69235340,11926880,841268,902785
52945683,2430990,4984499,4958743,55769701,2076350,4897117,4039592,56659078,2068024,3959679,3801848
65481714,12065778,9758167,23399415,49015186,939016,2049682,1894330,80512291,43059747,147029281,107749739
48819445,2008471,3989354,3433796,63626589,1023818,2343151,2323467,58102405,5735362,9899605,9435658
49584254,1894095,4038218,3553402,54780025,1703493,2992897,2539389,51239693,1050498,1839538,1754310
47497762,1395859,2688875,2545153,51295747,1058920,2712241,2349971,59184974,1017764,2162396,1790959
49440559,1668602,3397400,3283684,42204859,918958,2074910,1861359,56518286,3412209,7080911,5975543
60170266,10652325,20575910,20396291,63478562,936353,2513174,2613239,52275133,968512,2344956,2028200
44780752,787366,18542711,1337980,50586112,745933,1423931,1169642,66746544,8596987,25704919,34697345
44460284,732847,2055053,1611724,47874459,865293,1495351,1239466,55272351,1553054,3668803,3285662
59414188,3647075,7731873,7025347,64188501,1456813,4780746,4949107,69365562,7239132,28923849,13824107
44203683,1813802,4008144,2919926,62005770,1506182,2580651,2636791,53173904,812349,1489323,1270018
56301449,1440734,3342110,2909561,56851158,3146363,6821019,6493675,49928729,1980523,4152990,3542310
47578191,1484137,3213516,2859464,51013495,704028,1421636,1480747,62436056,1089707,2854922,2459065
70605804,5326873,13602883,11453338,50009002,1445867,2658310,2343745,63449638,8712836,19382201,15613108
49595733,964293,1844468,1644850,44953479,1037845,2363058,2125669,55414110,3333541,8527511,7733957
51165251,1826786,3870120,3536725,75777903,10945323,9318744,8639499,50433095,609221,1643948,1493500
45637145,942017,1677179,1494989,59046597,5587626,30551212,24473855,67422555,10107476,27154649,23192264
52432681,3102684,6630641,5170521,53829174,3643641,6537595,5717937,90749655,20775307,86268771,87263934
46147814,901744,1755482,1588353,52646413,2967980,6653893,5107681,65454609,8009715,27449433,24421909
49724739,2475532,5323648,4910082,47486921,472943,865204,668484,53602265,984540,1661197,1617678
48453814,2037950,3753319,3519361,49230371,2463390,5144419,4933593,64119635,6001041,15693453,14150032
45942621,1054197,1981790,2002316,50489141,1716029,3322433,2917938,84965473,31627933,46970804,41266238
55079985,2802029,5077112,18638709,47928092,967315,1881395,2227309,48292706,3039287,5495516,4861502
58379009,7286856,3473976,3246624,63329634,6739883,3959705,3554051,54993369,803271,3014758,2753713
53209297,1143978,1757258,1654854,48379410,2884292,4213134,3618959,55614725,2463899,10075456,9126039
45449026,1061735,1649296,1977472,53910796,691796,1508211,1393605,68823174,4243040,13506854,11622144
48766091,2149127,3569106,3412091,58819234,2528767,5774063,5561718,56197509,5236471,16115952,13903227
45073812,778388,992632,878714,61016804,2027347,3330791,2914536,55838332,2722387,5571642,4851175
46884616,664415,1332039,1502494,51790525,1505229,2279191,1875246,55053970,493104,690087,639000
60292753,2670085,25632000,7635604,56872433,3491420,7393500,6322992,52002741,505389,21842529,771363
49578441,982905,2181488,1547317,49991121,874402,1649290,1359550,46102235,1775632,5779553,20299845
46245256,1787457,4519523,3458208,58079674,1642977,3280742,3251777,68262080,18590378,20505396,19027367
45506338,1929870,3707491,3265053,72767985,5262775,10999927,10120748,68148489,24142632,113685300,100608107
53344293,1132877,2471300,2006000,57558448,3062590,6884555,6617437,65567973,3735522,13895780,13255146
62048701,3107798,6877337,6514873,44261260,982596,1632815,1459306,82758190,10582890,27673704,24347186
46262115,875239,1750011,1489843,49543391,883892,1782967,1630636,53394558,2315379,21147862,5983047
45640702,598916,1139116,1048894,61862072,5038154,11338714,10258480,82586788,16691818,45728922,53241504
47355913,18825497,2133901,1980597,61460829,610144,858941,750967,63655763,3663751,12416423,11212338
50947779,885676,1176547,1160870,58022416,5718066,20968860,4803249,53800949,1453225,3250180,2814290
72287696,4181751,9885545,10437767,53060222,579652,1081919,974046,51737886,1957081,3405942,3153201
51087594,1199984,2276501,2134923,52792520,943858,2203535,2089544,50852720,867534,3560927,3276689
46631225,1185780,3025818,2014354,43139036,428764,656662,647682,59785024,21654422,10837889,9249935
41302477,712407,1934560,1147888,72442990,3325652,7794530,28326070,53335412,1814682,5947678,5430427
45608467,1081219,3148262,2255992,45888940,1933584,3652333,3354745,53261860,593640,1551739,1379124
61408869,7154828,6364593,6528872,50898021,816359,1526008,1411302,55208844,1877110,7244319,6433905
47526186,1053473,1789341,1879086,55136291,24059593,3367521,3110806,59753274,6098537,10186291,9470968
50453744,1023594,2403463,2019910,54808777,2048121,3760077,3556428,57120019,3977818,8317235,8128415
45218046,1458586,3695721,2858496,74659718,4187503,6948930,5723676,57853061,4107962,15130654,13579646
47910128,1815852,3462867,2701006,47604958,1111589,2089785,1820819,56269601,3260208,33714630,9477459
44754422,818524,1550913,1366321,51211947,2830847,5993405,5920506,49419193,394695,790277,666385
44983116,2165153,4588325,4116465,71616428,9128761,18339374,15041449,59490891,538048,774672,659453
53292817,3114109,8146363,21752432,54320450,2231893,4351961,3804251,103717231,49926348,107959071,108669206
47370884,1496575,2841059,3333360,55697549,2542694,5172534,4369741,45428084,565340,1151347,960802
47834518,1575424,3236439,5552949,51346929,784583,1257016,1051768,67291860,6686396,23524955,20899538
48044939,1204070,20964484,4806766,51948584,1774556,5396892,4984867,61103530,5435867,11945019,10763601
44511091,1161970,1950905,1919645,44557859,1061622,2567892,1850820,73196727,14157895,55150995,35403777
49139336,562848,913123,915013,51535367,2023524,5553280,4673922,73687234,14104425,57515904,62304834
49497133,992728,1827913,1653904,51805358,743126,1482700,1002916,54531611,2831227,9394428,9262602
48983318,1913546,3789757,3228617,55033806,2967701,21200308,4728798,61527402,5781790,16711955,14911985
45138199,739106,1096625,1253016,57392530,958822,1592122,1258442,63815624,50378929,144746149,116350398
56031101,4001174,8268633,7459157,57771037,1077916,2042653,1578756,64214762,5151798,12470674,10896292
53211916,5268225,4065557,3742643,55425696,836195,1938385,1599578,62399177,1620719,2485586,2136542
50919273,1766232,4052676,3342675,55961196,1588991,4277662,3751230,62042037,6242131,17089692,14926511
52060392,1609264,2509184,2139731,50403797,1778137,3326146,2759076,54352653,1267274,4053064,19650846
67784374,6923602,14536371,11352616,50450674,1402526,3431010,2880374,72580561,9573404,26386545,38796412
51287934,1292446,2433741,2068201,53368931,1375968,1609405,1300845,59013287,5009089,10837714,9844538
53426827,1585279,2351670,1950783,53297984,2337214,3674727,25372877,60900995,5344430,18375818,16799497
47329492,1206123,1986863,1678652,48707961,3798352,8523360,9138213,69189435,5608795,11479684,9467962
47697975,1345394,1998056,1684504,49118833,2453037,3284822,3066536,51359357,735701,1627036,1534099
49527464,1672242,3024298,2607377,59061463,6358320,8335706,7538352,57222020,6336190,13105908,11578410
41298298,1172251,1296029,1285418,54916001,1955969,2236931,2151136,62101886,2814625,6948773,6232778
57168306,2984578,5277623,4035332,48015886,1485185,2317984,3758376,59495178,3384596,23365291,7233951
51310992,3485008,7222645,6225959,75298310,18295026,60311983,61949912,63567122,5170353,14179085,13178013
63644544,3938851,8276632,7476236,70269223,3778720,8045499,9108729,61418862,7151088,11094993,10139570
52718698,3965814,4851942,5799349,83761181,5016240,11597230,10675895,72854812,5216758,11883338,10868844
56312138,3534605,23336042,16818547,55309118,2857961,20826976,6649128,58948925,7936924,9220614,8258475
48424801,938287,1582264,1740777,48675567,1216476,3576871,3395802,66794950,9468248,25672026,34847309
